,rank,title,link,image_url,describe,heat
0,1,英媒称「特拉斯将宣布『公司税将从 19 % 提高到 25 %，放弃其减税计划』」，这一举动意味着什么？,财联社 10 月 14 日电，据每日电讯报报道，英国首相特拉斯将在今天下午 2 点（北京时间 21 点）的新闻发布会上宣布，公司税将从 19% 提高到 25%。英媒：英国财政大臣夸腾将被解雇,https://pic1.zhimg.com/80/v2-24dd8887608d328d45ab4715add18169_1440w.png,https://www.zhihu.com/question/559466013,695 万热度
1,2,S12 小组赛头名战 JDG 1:0 力克 DK 小组第一出线，如何评价这场比赛？,英雄联盟 S12 小组赛 B 组加赛上，JDG 有惊无险击败 DK，以小组第一的名次晋级八强，本局比赛中 369 一改此前的颓势，上局面对 DK 使用凯南仅出 1-7 的战绩，但本局剑魔挥剑扫荡对手，,https://pica.zhimg.com/80/v2-bc05ff72dcdc4d0d62407a5357774883_720w.png,https://www.zhihu.com/question/559536762,612 万热度
2,3,公猫能否认识到自己是孩子的父亲？,如果能，如何得知？如果不能，为什么？,https://pica.zhimg.com/80/v2-9338e754ed521ba4c16c1b77ccf95f9c_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/56747408,260 万热度
3,4,马克龙称「若俄对乌使用核武器，法国不会以核武回应」，这释放了哪些信息？西方对俄制裁的「底牌」是什么？,法国总统马克龙关于俄使用核武器的一番话，近日引发关注。据英国《每日电讯报》、英国《金融时报》、「今日俄罗斯」（RT）电视台等媒体报道，马克龙 12 日公开表示，如果俄罗斯对乌克兰使用核武器，法国不会以,https://pic1.zhimg.com/80/v2-2ebccc3f6857bbb3002bc4efc3951b7a_1440w.png,https://www.zhihu.com/question/559449170,242 万热度
4,5,浙江一村民遗忘股票账户 15 年后 1 万变 50 万，当事人称自己也不知道有这么多钱，如何看待此事？,10 月 14 日，据「美丽浙江」视频报道，台州天台县的村民陈师傅接到通知，他遗忘了 15 年的股票账户找回来了，当初投资的 1 万元变成 50 万元。 陈师傅表示，非常感谢银行工作人员，「如果不是他,https://pic3.zhimg.com/50/v2-4b4234db51301b3ed20f9e39691b63ed_b.jpg,https://www.zhihu.com/question/559360936,225 万热度
5,6,如何评价《原神》3.1 版本新增妮露传说任务 [睡莲之章] 第一幕：致智慧者？,,https://pica.zhimg.com/50/v2-d45394f80c12503972e6845f7ea93406_b.jpg,https://www.zhihu.com/question/555889159,178 万热度
6,7,默克尔发声「从未后悔，即使冷战时期俄也是可靠的能源供应商」，如何评价这一决策？俄能源对德国意味着什么？,（观察者网 讯）随着冬日临近，包括德国在内的欧洲各国仍饱受能源危机困扰。10 月 12 日，普京松口表态，俄罗斯已经准备好向欧洲供应天然气。然而，德国政府却表示拒绝。 10 月 13 日，执政时期一直,https://pic3.zhimg.com/80/v2-027e07491221b7582ed35ed01fc56960_1440w.png,https://www.zhihu.com/question/559426521,163 万热度
7,8,爸妈要男朋友全款买房并考上公务员才肯见他第一面，我该怎么办？,我是事业单位在编工作人员，我身高 158，他身高 172，男朋友是国企员工，两个人合起来月收入 1w+，我收入比他高一些，我是 98 年的牛，男朋友是 97 年的牛，我们都是本科毕业，我爸妈有退休工资,https://picx.zhimg.com/80/v2-fead4f8e6b79fe941f1ed93c0727c182_1440w.png,https://www.zhihu.com/question/550231926,146 万热度
8,9,你能把遗憾写到什么程度？,,,https://www.zhihu.com/question/540642172,130 万热度
9,10,普京称「目前已经完成动员 22 万余人，俄罗斯无意摧毁乌克兰」，哪些信息值得关注？,普京：已完成动员 22 万余人 14 日，俄罗斯总统普京表示，目前已经完成动员 22 万余人，所有动员措施将在两周内完成。（央视新闻）普京：已完成动员 22 万余人 普京：俄罗斯无意摧毁乌克兰 据俄罗,https://pic3.zhimg.com/v2-dff3dba155215c711a596bc7fa602714_r.jpg?source=1940ef5c,https://www.zhihu.com/question/559497014,125 万热度
10,11,为什么在上海交大这种学校，也容易堕落得一塌糊涂？又该怎么自我拯救？,题主目前大二，电院在读。对学业力不从心，对未来迷茫困惑。经历了大一上的挂科，大一下的退警，也意识到了问题的严重性，现在就是无目的的好好学习，把成绩弄好。看着身边的大佬忙着各种竞赛，二专，PRP，托福雅,https://pic1.zhimg.com/80/v2-a8243280907880caa1ed3236f854d527_720w.png,https://www.zhihu.com/question/303130196,123 万热度
11,12,「宁学桃园三结义，不学瓦岗一炉香」 怎么解释？,评书,,https://www.zhihu.com/question/37533636,121 万热度
12,13,如何评价美剧 《指环王：力量之戒》第一季第八集（大结局）？,,https://pic1.zhimg.com/80/v2-667bd8414f4cf37fd69de8bca26fb345_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559363612,110 万热度
13,14,美国再提供 7.25 亿美元对乌军事援助，这将对俄乌局势产生哪些影响？,当地时间 14 日，白宫官网发布美国总统拜登签署的备忘录，宣布向乌克兰提供价值为 7.25 亿美元的最新军事援助，其中包括弹药和车辆、国防物资以及军事教育和培训等。美国再提供 7.25 亿美元对乌军事,https://pic1.zhimg.com/80/v2-493c8331d881d2d5d96de6ff6779ddb2_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559521548,97 万热度
14,15,S12 小组出线日 JDG 0:1 不敌 DK 遭遇世界赛首败，如何评价这场比赛？,在刚刚结束的比赛中，DK 击败 JDG 拿下胜利。目前双方战绩皆来到 5 胜 1 负，由于首轮 JDG 击败 DK，双方胜负关系持平，他们将加赛一场争夺小组头名。 双方的加赛将在稍后开始。,https://pic2.zhimg.com/80/v2-0e305250715bf71c825024ed3c687dc1_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559522274,93 万热度
15,16,是什么原因导致曾经爆火的铁观音，现竟「无人问津」？,,https://pic1.zhimg.com/v2-2b77de71c79aba102cd77794ca8005d1_xl.jpg?source=57bbeac9,https://www.zhihu.com/question/553670319,89 万热度
16,17,如何评价《一年一度喜剧大赛》第二季第四期？,,https://pic4.zhimg.com/50/v2-5373ca7196170f9e8c7e776596f32739_b.jpg,https://www.zhihu.com/question/559473927,82 万热度
17,18,《哈利·波特》海格扮演者罗彼·考特拉尼去世，享年 72 岁，他饰演的海格给你留下了哪些印象？,据英国广播公司（BBC）等媒体报道，英国演员、《哈利·波特》系列电影海格扮演者罗彼·考特拉尼去世，终年 72 岁。 罗彼·考特拉尼 资料图 报道称，其经纪人证实了这一消息，但未透露更多信息。英媒：《哈,https://pic1.zhimg.com/80/v2-e6fabf6acea02c8805c89c73ac855e49_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559515269,82 万热度
18,19,余承东称「买油车不如买增程，问界 M7 油耗不到卡宴一半」，如何评价这一观点？增程式汽车发展前景如何？,近日，在接受媒体人吴佩采访时，华为余承东又爆出了金句：现在买燃油车不如买增程。在视频中，余承东亲自驾驶一台 M7 带着吴佩出门兜风，两人在一加油站给 M7 加满了油重新出发，当被问到油和电都被保留了下,https://pica.zhimg.com/80/v2-d5f48a00571fcd1dce10a9477771222e_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559329033,72 万热度
19,20,其他语言中有没有类似「天太热，浙江变成折工了」的针对正字法的修辞现象？,底下有个我自己的回答，把它搬到问题解释里好了。 想到英语里的一个冷笑话： -What is a musician without music？ -Ian. 不过这个例子涉及到语素层面，即 music ,https://pic2.zhimg.com/80/v2-7414194173e92887d64c13b8a0552300_1440w.png,https://www.zhihu.com/question/548922688,71 万热度
20,21,如何理解 Elon Musk 的第一性原理？,Elon Musk 认为他的思维方法是符合物理学的第一性原理的，就是把事物的基本原理搞清楚，然后再把后面的知识结构捋下来。我的问题是：这样做，为什么会提高效率呢？难道这样做不是需要耗费更多的时间和精力,https://pic3.zhimg.com/80/v2-06b22ff6e4097664cd1ae1cd863c8124_720w.png,https://www.zhihu.com/question/64080129,71 万热度
21,22,离 23 考研 2 个月时间，现阶段复习有什么需要注意的吗？,,,https://www.zhihu.com/question/558396358,67 万热度
22,23,美国到底是「没有登月」，「无人登月」还是「载人登月」？,,https://pic1.zhimg.com/80/v2-0d7ed39e54ff8505522f354a117a354c_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/558575319,66 万热度
